name,x,y,norm,distinct
dlib,-30.071377,-6.132152,2.0,4
dmtcp,31.538088,34.157734,42.190046219457976,848
doctest,-7.5402875,-6.4266553,13.379088160259652,61
dotnet-core-sdk,-29.08232,-21.95253,4.123105625617661,17
double-conversion,-39.601856,-22.440207,5.291502622129181,28
doxygen,-2.3705425,-46.576775,124.87994234463756,447
dqmgui,40.345505,-50.954906,25.39685019840059,644
dray,-31.034994,-8.752186,11.357816691600547,33
dtcmp,-40.422245,1.9307963,3.0,3
dwz,57.11416,-5.491099,34.45286635390443,655
dyninst,1.1978353,-57.93135,182.89887916551046,375
e2fsprogs,-14.480676,0.79053503,5.744562646538029,33
ea-utils,-43.39288,46.895046,10.04987562112089,101
east,-18.14833,-32.3111,10.63014581273465,43
ecbuild,-0.23047023,-3.7850475,26.664583251946766,135
eccodes,-23.321886,18.681824,47.89572005931219,423
ecflow,-1.7119018,-2.9510562,16.73320053068151,87
eckit,-0.36523426,-3.7877545,24.331050121192877,135
ecmwf-atlas,-2.1772904,-28.564041,20.174241001832016,111
ecp-data-vis-sdk,-4.514508,-10.719446,56.57738063926254,186
ectrans,-2.2245002,-28.876856,20.346989949375804,111
ed,-12.677134,-12.790272,5.916079783099616,35
edm4eic,-28.831764,-40.04976,8.18535277187245,67
edm4hep,-29.173384,-38.049,11.61895003862225,69
eic,-46.3056,-3.6656954,3.605551275463989,13
eic-smear,-28.20177,-41.380817,8.94427190999916,74
eicd,-17.641764,-31.882505,10.63014581273465,43
eicroot,-46.3056,-3.6656954,3.605551275463989,13
eigen,34.86664,26.121433,67.00746227100382,1199
ejana,-46.3056,-3.6656954,3.605551275463989,13
elfutils,46.001907,20.13401,205.26324561401634,997
elmerfem,2.9390152,55.262558,17.60681686165901,231
elpa,-26.925795,18.91571,28.600699292150182,196
emacs,-1.1469069,45.464108,73.50510186374821,562
eman2,-23.8833,-20.623981,5.385164807134504,28
emboss,-42.7073,44.502804,10.04987562112089,101
env-model,-10.501898,-22.317387,6.708203932499369,45
environment-modules,-51.57765,-1.5891104,3.872983346207417,4
enzo,-31.867731,-18.705307,2.6457513110645907,5
enzyme,-30.384739,-5.272407,1.4142135623730951,2
eqr,-35.468433,-19.776115,5.291502622129181,14
escalate,-46.3056,-3.6656954,3.605551275463989,13
esmf,1.8676902,2.5385048,41.593268686170845,255
evtgen,28.019442,-5.2831225,38.98717737923585,660
